SUCURSAL,FECHA,HORA,FOLIO_CORTE,CAJA,CAJERO,FONDO_INICIAL,VENTAS_TOTALES_NETAS,RETIROS,SISTEMA_DEBE_HABER,REAL_CONTADO,DIFERENCIA,PAGO_DEBITO,PAGO_CREDITO,PAGO_EFECTIVO_CALC,FUE_MODIFICADO,USUARIO_MODIF,FECHA_MODIF
Tienda 1,2023-07-15,20:22:29.242000,Corte 28,Caja 1,Cajero 1,1510.13,1892.57,192.98,3284.41,3261.67,1.9,1232.26,0.0,671.52,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-16,16:09:36.252000,Corte 29,Caja 1,Cajero 1,1383.75,6541.68,2550.0,5283.14,5337.31,-0.5,611.36,321.8,5587.76,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-17,15:18:15.601000,Corte 30,Caja 1,Cajero 1,2093.84,4213.84,102.74,6258.92,6175.17,0.28,158.14,133.81,3931.36,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-17,20:16:35.213000,Corte 31,Caja 1,Cajero 1,1913.93,2007.41,125.83,3809.78,3785.52,14.57,31.49,73.68,1873.76,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-18,15:21:11.684000,Corte 32,Caja 1,Cajero 1,2256.87,3297.53,0.0,5553.61,5634.28,11.29,198.24,0.0,3145.77,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-18,20:14:34.073000,Corte 33,Caja 1,Cajero 1,1935.02,4713.44,0.0,6584.88,6757.21,1.67,1434.83,66.19,3219.37,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-19,14:48:55.017000,Corte 34,Caja 1,Cajero 1,1569.75,3834.84,0.0,5383.0,5456.74,-0.17,220.37,354.15,3286.64,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-19,20:13:47.890000,Corte 35,Caja 1,Cajero 1,1383.77,2417.63,414.42,3287.6,3346.9,-15.08,539.02,0.0,1839.24,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-20,15:03:09.288000,Corte 36,Caja 1,Cajero 1,2409.4,3358.05,0.0,5645.29,5728.19,0.74,570.36,268.8,2483.04,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-20,20:18:07.336000,Corte 37,Caja 1,Cajero 1,1990.03,2376.93,0.0,4353.18,4363.25,-6.24,361.62,0.0,2037.86,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-21,15:12:49.618000,Corte 38,Caja 1,Cajero 1,2186.11,3784.92,2275.64,3737.07,3721.73,1.17,329.85,146.3,3345.77,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-21,20:16:55.569000,Corte 39,Caja 1,Cajero 1,2182.95,3265.16,0.0,5486.26,5388.87,-0.31,1824.24,0.0,1416.43,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-22,14:40:44.810000,Corte 40,Caja 1,Cajero 1,2002.87,4476.03,0.0,6471.82,6428.26,-0.26,272.34,381.35,3791.65,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-22,20:12:19.984000,Corte 41,Caja 1,Cajero 1,2538.2,1864.0,0.0,4389.16,4388.73,0.85,129.54,0.0,1686.55,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-23,16:16:11.035000,Corte 42,Caja 1,Cajero 1,2560.4,7301.41,4459.96,5450.95,5294.29,0.41,511.21,164.36,6704.9,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-24,15:09:17.311000,Corte 43,Caja 1,Cajero 1,2372.25,2771.71,0.0,5150.47,5092.32,0.32,87.6,0.0,2689.19,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-24,20:10:26.511000,Corte 44,Caja 1,Cajero 1,1570.47,4667.3,252.74,5981.15,5987.25,0.57,143.76,1271.31,3205.15,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-25,15:10:09.129000,Corte 45,Caja 1,Cajero 1,1343.65,1976.67,0.0,3294.54,4138.87,753.99,83.11,0.0,1916.25,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-25,20:20:04.416000,Corte 46,Caja 1,Cajero 1,2484.85,980.36,0.0,3467.23,3456.17,-0.5,108.27,0.0,859.05,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-26,14:41:49.625000,Corte 47,Caja 1,Cajero 1,2529.55,4827.68,2331.69,5029.28,4936.48,-0.21,725.83,313.92,3755.33,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-26,20:29:16.962000,Corte 48,Caja 1,Cajero 1,2408.8,2951.3,0.0,5304.54,5377.67,0.0,274.58,0.0,2626.73,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-27,15:29:01.281000,Corte 49,Caja 1,Cajero 1,2636.24,3982.92,2954.98,3697.77,3714.05,82.26,454.07,142.28,3410.63,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-27,20:22:06.706000,Corte 50,Caja 1,Cajero 1,2015.42,2211.83,0.0,4303.65,4271.33,56.73,480.3,0.0,1720.25,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-28,20:12:54.002000,Corte 51,Caja 1,Cajero 1,2401.59,4315.66,3416.22,3321.28,3339.02,0.8,203.15,95.24,4042.69,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-29,15:24:01.243000,Corte 52,Caja 1,Cajero 1,2382.92,3491.06,0.0,5939.89,5870.38,0.13,0.0,0.0,3485.5,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-29,20:14:51.632000,Corte 53,Caja 1,Cajero 1,2251.64,6846.04,2861.35,6275.51,6237.1,0.0,1471.67,538.67,4837.85,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-30,16:10:37.041000,Corte 54,Caja 1,Cajero 1,2531.86,7970.13,5992.58,4515.33,4470.05,3.89,1371.85,0.0,6489.97,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-07-31,15:06:21.216000,Corte 55,Caja 1,Cajero 1,2470.84,4915.57,3271.98,4158.24,4135.58,0.13,1136.1,308.21,3500.79,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-07-31,20:32:31.154000,Corte 56,Caja 1,Cajero 1,2255.82,1173.93,127.71,3349.19,3355.77,0.64,0.0,0.0,1175.6,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-01,15:19:12.486000,Corte 57,Caja 1,Cajero 1,2284.73,6656.79,5877.48,3167.36,3153.87,1.16,1090.32,0.0,5643.42,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-01,20:20:21.610000,Corte 58,Caja 1,Cajero 1,1676.43,1651.1,0.0,3313.42,3320.03,-0.11,0.0,183.22,1464.85,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-02,15:21:54.877000,Corte 59,Caja 1,Cajero 1,1886.25,2923.61,1726.69,3099.6,3096.51,0.0,287.71,129.18,2537.84,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-02,20:24:55.268000,Corte 60,Caja 1,Cajero 1,2042.98,2581.41,0.0,4585.65,4603.28,0.0,989.19,0.0,1571.14,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-03,15:34:43.280000,Corte 61,Caja 1,Cajero 1,2544.54,2775.76,0.0,5358.81,5376.97,2.2,63.31,0.0,2716.2,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-03,20:11:07.636000,Corte 62,Caja 1,Cajero 1,2385.15,2704.41,1895.55,3216.55,3195.42,0.2,111.07,0.0,2591.49,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-04,15:16:55.541000,Corte 63,Caja 1,Cajero 1,2091.13,3799.59,3196.09,2703.86,2650.6,0.0,126.41,467.11,3133.22,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-04,20:19:18.902000,Corte 64,Caja 1,Cajero 1,1560.9,2659.56,0.0,4254.22,4224.47,-5.72,778.24,0.0,1900.37,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-05,15:20:38.052000,Corte 65,Caja 1,Cajero 1,1696.71,2736.12,11.6,4426.53,4441.02,3.65,173.11,143.48,2458.62,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-05,19:56:26.900000,Corte 66,Caja 1,Cajero 1,1612.96,652.12,0.0,2223.61,2534.27,309.53,0.0,52.0,596.72,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-06,16:08:52.710000,Corte 67,Caja 1,Cajero 1,2452.06,5286.83,3151.76,4647.78,4569.2,12.75,679.77,131.77,4567.72,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-07,13:48:17.819000,Corte 68,Caja 1,Cajero 1,2062.31,3166.17,2962.02,2289.71,2282.51,0.0,158.15,171.27,2886.63,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-07,20:09:59.773000,Corte 69,Caja 1,Cajero 1,1354.58,4491.01,2829.35,2968.05,2919.54,0.0,222.83,0.0,4262.67,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-08,14:51:33.848000,Corte 70,Caja 1,Cajero 1,1453.58,2691.03,2387.15,1732.46,1750.48,1.31,277.07,0.0,2479.95,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-08,20:30:41.964000,Corte 71,Caja 1,Cajero 1,1414.83,1463.9,0.0,2875.24,3533.99,639.6,0.0,0.0,1457.01,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-09,15:02:20.962000,Corte 72,Caja 1,Cajero 1,2138.75,2715.09,0.0,4834.85,4869.18,5.06,46.25,0.0,2690.86,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-09,20:22:45.915000,Corte 73,Caja 1,Cajero 1,1904.25,1462.75,0.0,3311.49,3166.31,-139.05,0.0,0.0,1430.73,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-10,15:14:02.868000,Corte 74,Caja 1,Cajero 1,1600.5,3129.24,2647.18,2103.22,2075.68,-1.02,0.0,0.0,3098.95,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-10,20:17:55.502000,Corte 75,Caja 1,Cajero 1,1558.46,4761.2,2212.8,4051.6,4092.74,4.55,1127.42,0.0,3630.24,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-11,15:06:51.549000,Corte 76,Caja 1,Cajero 1,2066.79,3478.76,1933.23,3650.07,3661.34,0.81,287.5,364.51,2791.64,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-11,20:24:17.765000,Corte 77,Caja 1,Cajero 1,1974.83,1828.87,0.0,3820.85,3858.86,4.45,205.62,0.0,1669.38,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-12,14:48:59.666000,Corte 78,Caja 1,Cajero 1,2496.28,1788.15,1996.99,2310.53,2299.71,-7.03,47.83,144.93,1622.73,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-12,20:08:48.295000,Corte 79,Caja 1,Cajero 1,2118.68,2715.75,375.87,4479.98,4402.21,0.23,649.4,146.93,1958.02,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-13,16:23:57.867000,Corte 80,Caja 1,Cajero 1,2329.48,4763.19,64.13,7117.4,7115.88,-2.4,263.45,0.0,4500.47,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-14,15:17:07.452000,Corte 81,Caja 1,Cajero 1,2026.98,3342.09,0.0,5390.62,5414.29,25.73,267.63,405.28,2630.07,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-14,20:12:23.432000,Corte 82,Caja 1,Cajero 1,1753.93,1474.79,0.0,3227.35,3195.0,0.31,114.08,0.0,1332.25,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-15,15:27:41.913000,Corte 83,Caja 1,Cajero 1,1881.78,3858.23,1469.6,4315.62,4271.01,0.18,1143.24,407.61,2372.52,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-15,20:10:52.987000,Corte 84,Caja 1,Cajero 1,1996.75,966.18,0.0,2920.31,2929.04,-2.52,63.22,0.0,912.36,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-08-16,15:11:58.613000,Corte 85,Caja 1,Cajero 1,1938.5,4331.23,1925.26,4302.92,4325.86,0.65,309.1,0.0,3994.17,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-16,20:14:40.487000,Corte 86,Caja 1,Cajero 1,1601.31,1222.11,0.0,2786.12,2778.36,0.0,0.0,0.0,1233.06,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-08-17,14:59:49.547000,Corte 87,Caja 1,Cajero 1,2383.23,2326.79,1856.67,2890.03,2888.27,2.72,63.81,0.0,2258.97,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-17,20:10:29.210000,Corte 88,Caja 1,Cajero 1,2189.3,540.75,0.0,2787.85,2716.37,0.05,0.0,0.0,530.26,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-18,15:10:45.355000,Corte 89,Caja 1,Cajero 1,2278.24,2757.31,2559.13,2478.18,2478.62,-5.82,146.02,0.0,2562.19,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-18,20:16:32.998000,Corte 90,Caja 1,Cajero 1,1983.38,1519.43,0.0,3460.23,3464.45,0.64,345.51,0.0,1172.14,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-19,15:07:00.629000,Corte 91,Caja 1,Cajero 1,2112.32,3442.8,0.0,5628.53,5600.12,4.09,101.82,185.88,3199.41,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-19,20:15:13.949000,Corte 92,Caja 1,Cajero 1,2075.09,2846.13,0.0,4896.66,4897.38,0.57,0.0,0.0,2899.27,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-08-20,16:06:49.563000,Corte 93,Caja 1,Cajero 1,2143.26,3397.48,0.0,5667.39,5534.92,0.45,699.21,238.32,2471.82,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-21,15:16:10.338000,Corte 94,Caja 1,Cajero 1,1945.49,2395.11,1763.58,2525.14,2543.92,0.0,363.92,93.09,1896.37,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-21,20:28:51.912000,Corte 95,Caja 1,Cajero 1,1720.83,2493.15,0.0,4257.01,4209.38,0.0,312.57,95.18,2069.25,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-22,15:08:11.922000,Corte 96,Caja 1,Cajero 1,1826.2,3440.14,2146.49,3085.85,3148.94,0.19,119.98,77.98,3244.65,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-22,20:17:45.513000,Corte 97,Caja 1,Cajero 1,1658.98,1426.34,636.74,2449.54,2458.79,0.26,67.04,0.0,1355.91,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-08-23,15:13:23.025000,Corte 98,Caja 1,Cajero 1,1619.86,1895.79,0.0,3485.81,3518.27,0.0,290.73,0.0,1570.77,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-23,20:22:17.556000,Corte 99,Caja 1,Cajero 1,976.69,736.83,0.0,1687.86,1713.2,-0.59,0.0,0.0,726.91,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-24,15:06:57.166000,Corte 100,Caja 1,Cajero 1,1697.37,2155.32,0.0,3920.3,3909.82,-1.71,236.54,250.49,1704.43,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-08-24,20:11:25.720000,Corte 101,Caja 1,Cajero 1,2002.55,647.43,0.0,2599.59,2672.0,3.16,0.0,0.0,648.99,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-08-25,15:17:13.567000,Corte 102,Caja 1,Cajero 1,2283.13,2684.51,1663.48,3369.51,3377.76,0.0,487.8,0.0,2231.48,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-25,20:12:22.143000,Corte 103,Caja 1,Cajero 1,2343.7,793.27,0.0,3177.16,3177.43,0.0,0.0,0.0,792.27,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-26,15:04:09.304000,Corte 104,Caja 1,Cajero 1,2496.75,3314.08,0.0,5787.39,5782.23,0.33,333.84,332.57,2609.75,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-26,19:56:32.930000,Corte 105,Caja 1,Cajero 1,2623.42,2189.51,381.93,4351.79,4420.11,0.0,0.0,0.0,2156.55,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-08-27,15:58:24.432000,Corte 106,Caja 1,Cajero 1,2495.91,8721.76,5131.62,6046.42,6010.82,0.72,1225.17,656.57,6674.86,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-28,12:57:04.086000,Corte 107,Caja 1,Cajero 1,2374.9,1602.86,0.0,4015.71,4003.42,0.1,0.0,0.0,1597.08,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-28,20:20:45.820000,Corte 108,Caja 1,Cajero 1,1774.76,3578.46,0.0,5276.15,5331.2,2.56,420.03,0.0,3097.92,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-29,15:25:13.285000,Corte 109,Caja 1,Cajero 1,2152.42,3758.27,2001.57,3972.2,3966.99,1.04,510.76,351.75,2937.64,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-29,20:09:23.762000,Corte 110,Caja 1,Cajero 1,2073.29,2212.13,0.0,4318.66,4301.29,-0.96,232.29,0.0,1964.44,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-30,14:49:33.499000,Corte 111,Caja 1,Cajero 1,2175.56,3541.22,288.56,5363.72,5472.45,0.52,406.7,282.21,2773.76,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-30,20:15:17.638000,Corte 112,Caja 1,Cajero 1,2255.07,942.11,0.0,3164.71,3165.82,-1.2,27.06,0.0,906.22,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-31,14:58:11.310000,Corte 113,Caja 1,Cajero 1,2937.81,3335.56,125.51,6062.25,6097.56,0.26,619.83,36.05,2668.43,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-08-31,20:18:50.803000,Corte 114,Caja 1,Cajero 1,2542.79,1976.27,0.0,4578.59,4501.51,1.28,139.05,775.73,1049.36,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-09-01,14:24:54.543000,Corte 115,Caja 1,Cajero 1,2523.27,3518.76,0.0,6116.93,6117.92,0.76,274.24,555.75,2722.27,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-01,20:27:00.531000,Corte 116,Caja 1,Cajero 1,2295.51,1116.83,0.0,3458.52,3456.68,0.51,0.0,0.0,1107.79,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-02,14:43:20.319000,Corte 117,Caja 1,Cajero 1,1811.34,6150.22,2908.42,5081.03,5073.52,-0.79,1350.69,455.93,4342.88,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-02,19:53:27.900000,Corte 118,Caja 1,Cajero 1,1766.36,2419.7,320.55,3868.76,3808.21,0.16,880.05,0.0,1533.12,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-09-03,15:56:12.872000,Corte 119,Caja 1,Cajero 1,2309.29,4220.86,2212.77,4292.57,4291.57,-0.22,424.61,436.04,3392.68,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-04,15:06:39.289000,Corte 120,Caja 1,Cajero 1,2329.6,1842.15,0.0,4190.3,4264.76,0.0,0.0,0.0,1875.02,SI,Admin 2,INFORMACION_PROTEGIDA
Tienda 1,2023-09-04,20:19:42.222000,Corte 121,Caja 1,Cajero 1,2383.01,2090.58,634.36,3789.59,3796.25,-0.41,0.0,380.49,1661.78,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-05,14:20:28.230000,Corte 122,Caja 1,Cajero 1,2414.4,903.78,0.0,3286.1,3293.88,-63.85,0.0,0.0,900.54,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-05,20:17:21.283000,Corte 123,Caja 1,Cajero 1,2329.17,2230.28,0.0,4481.12,4560.74,0.31,213.77,236.04,1767.91,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-06,15:44:24.982000,Corte 124,Caja 1,Cajero 1,2507.44,3198.79,3007.75,2753.56,2800.19,1.07,392.61,0.0,2830.11,NO,Admin 1,INFORMACION_PROTEGIDA
Tienda 1,2023-09-06,20:24:45.652000,Corte 125,Caja 1,Cajero 1,2184.08,1134.79,0.0,3346.03,3295.01,0.0,205.95,0.0,926.56,SI,Admin 2,INFORMACION_PROTEGIDA
