SUCURSAL,FECHA,FOLIO_INTERNO,UUID_FISCAL,ESTATUS,CLIENTE,RFC,ARTICULO,CANTIDAD,PRECIO_UNITARIO,IMPORTE_RENGLON,SUBTOTAL_FACTURA,IMPUESTOS_FACTURA,TOTAL_FACTURA,USO_CFDI,METODO_PAGO
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 23,0.5,28.19,14.06,127.1,20.58,150.28,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 24,2.0,4.9,9.86,127.91,20.76,147.36,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 25,1.0,12.18,11.95,127.32,20.68,150.96,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 26,1.0,8.13,8.21,128.48,20.62,149.27,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 27,1.0,5.53,5.49,127.11,20.59,150.39,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 28,1.0,2.19,2.18,126.36,20.79,149.42,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 29,1.0,3.3,3.24,127.4,20.37,151.0,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 30,1.0,29.29,28.91,129.18,20.61,150.02,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 31,1.0,11.61,11.59,127.15,20.28,149.96,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 32,1.0,1.66,1.66,128.18,20.63,149.9,G03 ,PUE
Tienda 1,2023-07-04,Fact 6702,UUID 1,VIGENTE,Cliente 6,INFORMACION_PROTEGIDA,Prod 33,0.5,61.15,30.6,126.47,20.46,150.82,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 34,2.0,39.67,79.14,441.58,69.58,506.81,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 35,1.0,50.55,50.82,438.48,69.62,512.77,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 36,1.0,18.71,18.63,439.59,69.62,512.26,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 37,1.0,14.81,14.67,435.49,70.84,505.46,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 38,1.0,42.0,41.43,434.73,70.91,503.48,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 39,1.0,37.67,38.26,441.19,70.95,510.64,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 40,1.0,28.57,28.1,440.26,69.61,503.57,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 41,2.0,13.88,27.05,443.14,70.12,513.63,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 42,1.0,52.38,51.58,438.42,69.71,504.84,G03 ,PUE
Tienda 1,2023-07-04,Fact 6703,UUID 1,VIGENTE,Cliente 7,INFORMACION_PROTEGIDA,Prod 43,18.0,4.88,88.48,439.58,70.48,504.07,G03 ,PUE
Tienda 1,2023-07-04,Fact 6704,UUID 1,VIGENTE,Cliente 8,INFORMACION_PROTEGIDA,Prod 44,1.0,103.45,101.3,102.8,16.49,118.7,G03 ,PUE
Tienda 1,2023-07-04,Fact 6705,UUID 1,VIGENTE,Cliente 9,INFORMACION_PROTEGIDA,Prod 45,1.0,88.11,86.23,86.43,13.98,100.91,G01 ,PUE
Tienda 1,2023-07-04,Fact 6706,UUID 1,VIGENTE,Cliente 10,INFORMACION_PROTEGIDA,Prod 46,12.0,3.67,44.81,44.86,7.05,51.77,G03 ,PUE
Tienda 1,2023-07-04,Fact 6707,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 4,4.0,6.6,25.95,67.01,10.74,77.05,G03 ,PUE
Tienda 1,2023-07-04,Fact 6707,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 47,100.0,0.23,22.84,66.68,10.78,78.76,G03 ,PUE
Tienda 1,2023-07-04,Fact 6707,UUID 1,VIGENTE,Cliente 3,INFORMACION_PROTEGIDA,Prod 48,100.0,0.18,17.85,68.42,10.83,77.07,G03 ,PUE
Tienda 1,2023-07-04,Fact 6708,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 49,4.0,9.35,37.38,110.76,18.14,131.43,G03 ,PUE
Tienda 1,2023-07-04,Fact 6708,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 14,4.0,18.58,73.46,112.8,17.8,130.97,G03 ,PUE
Tienda 1,2023-07-04,Fact 6709,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 50,14.0,1.11,15.58,22.74,3.73,27.03,G03 ,PUE
Tienda 1,2023-07-04,Fact 6709,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 51,14.0,0.55,7.67,23.28,3.68,26.41,G03 ,PUE
Tienda 1,2023-07-05,Fact 6710,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 44,1.0,101.6,102.44,166.14,26.1,192.07,G03 ,PUE
Tienda 1,2023-07-05,Fact 6710,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 52,1.0,63.94,62.2,165.36,26.45,194.79,G03 ,PUE
Tienda 1,2023-07-05,Fact 6711,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 53,1.0,8.68,8.72,100.35,15.91,114.15,G03 ,PUE
Tienda 1,2023-07-05,Fact 6711,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 54,1.0,25.17,25.15,100.32,15.73,113.64,G03 ,PUE
Tienda 1,2023-07-05,Fact 6711,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 55,1.0,64.59,65.88,98.83,16.03,116.2,G03 ,PUE
Tienda 1,2023-07-05,Fact 6712,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 54,12.0,25.49,299.06,302.14,47.76,353.83,G03 ,PUE
Tienda 1,2023-07-05,Fact 6713,UUID 1,VIGENTE,Cliente 11,INFORMACION_PROTEGIDA,Prod 56,3.8,41.36,154.83,243.65,39.72,284.84,G03 ,PUE
Tienda 1,2023-07-05,Fact 6713,UUID 1,VIGENTE,Cliente 11,INFORMACION_PROTEGIDA,Prod 57,1.0,79.24,78.45,244.69,39.3,280.97,G03 ,PUE
Tienda 1,2023-07-05,Fact 6713,UUID 1,VIGENTE,Cliente 11,INFORMACION_PROTEGIDA,Prod 58,1.0,9.81,9.96,242.79,39.87,287.77,G03 ,PUE
Tienda 1,2023-07-05,Fact 6714,UUID 1,VIGENTE,Cliente 11,INFORMACION_PROTEGIDA,Prod 59,1.0,10.4,10.46,218.56,34.53,253.94,G03 ,PUE
Tienda 1,2023-07-05,Fact 6714,UUID 1,VIGENTE,Cliente 11,INFORMACION_PROTEGIDA,Prod 60,1.0,208.45,207.88,221.34,35.02,252.19,G03 ,PUE
Tienda 1,2023-07-05,Fact 6715,UUID 1,VIGENTE,Cliente 12,INFORMACION_PROTEGIDA,Prod 61,1.0,9.21,9.39,35.85,5.77,41.42,G03 ,PUE
Tienda 1,2023-07-05,Fact 6715,UUID 1,VIGENTE,Cliente 12,INFORMACION_PROTEGIDA,Prod 62,2.0,13.17,26.64,35.64,5.78,40.96,G03 ,PUE
Tienda 1,2023-07-05,Fact 6716,UUID 1,VIGENTE,Cliente 13,INFORMACION_PROTEGIDA,Prod 63,1.0,58.03,56.81,58.1,9.25,66.18,G03 ,PUE
Tienda 1,2023-07-05,Fact 6717,UUID 1,VIGENTE,Cliente 12,INFORMACION_PROTEGIDA,Prod 10,2.5,21.49,53.14,52.72,8.6,61.25,G03 ,PUE
Tienda 1,2023-07-05,Fact 6718,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 64,5.0,113.06,566.49,894.32,145.74,1051.13,G03 ,PUE
Tienda 1,2023-07-05,Fact 6718,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 65,1.0,338.0,338.52,896.34,146.17,1056.27,G03 ,PUE
Tienda 1,2023-07-06,Fact 6719,UUID 1,VIGENTE,Cliente 14,INFORMACION_PROTEGIDA,Prod 66,1.0,43.15,43.61,188.55,29.64,217.15,G03 ,PUE
Tienda 1,2023-07-06,Fact 6719,UUID 1,VIGENTE,Cliente 14,INFORMACION_PROTEGIDA,Prod 67,1.0,129.08,128.8,186.54,29.67,215.44,G03 ,PUE
Tienda 1,2023-07-06,Fact 6719,UUID 1,VIGENTE,Cliente 14,INFORMACION_PROTEGIDA,Prod 68,1.0,8.14,8.24,184.2,30.2,215.32,G03 ,PUE
Tienda 1,2023-07-06,Fact 6719,UUID 1,VIGENTE,Cliente 14,INFORMACION_PROTEGIDA,Prod 69,1.0,4.34,4.35,184.62,29.94,216.4,G03 ,PUE
Tienda 1,2023-07-06,Fact 6720,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 10,2.0,21.24,43.09,42.4,6.82,49.61,G03 ,PUE
Tienda 1,2023-07-06,Fact 6721,UUID 1,VIGENTE,Cliente 15,INFORMACION_PROTEGIDA,Prod 44,1.0,101.16,101.41,103.51,16.32,118.45,G03 ,PUE
Tienda 1,2023-07-06,Fact 6722,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 70,20.0,4.97,100.6,237.72,38.39,275.8,G03 ,PUE
Tienda 1,2023-07-06,Fact 6722,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 71,30.0,4.63,139.81,237.96,38.34,275.3,G03 ,PUE
Tienda 1,2023-07-07,Fact 6723,UUID 1,VIGENTE,Cliente 16,INFORMACION_PROTEGIDA,Prod 72,1.0,170.31,168.33,169.39,27.06,195.13,G03 ,PUE
Tienda 1,2023-07-07,Fact 6724,UUID 1,VIGENTE,Cliente 14,INFORMACION_PROTEGIDA,Prod 66,1.0,42.77,43.21,43.4,6.86,50.52,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 30,1.0,29.17,28.77,291.56,46.74,335.49,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 73,1.0,19.15,19.09,287.42,46.11,333.54,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 74,1.0,26.57,26.56,288.76,46.74,335.22,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 75,1.0,19.62,19.62,285.01,46.25,336.53,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 76,1.0,32.34,32.02,291.31,46.12,331.19,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 77,1.0,58.1,57.72,287.25,46.73,333.88,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 78,3.0,20.53,61.69,285.39,46.48,336.73,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 79,4.0,1.09,4.41,292.42,46.31,337.66,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 80,2.0,4.41,8.89,285.7,46.76,338.9,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 81,1.0,12.47,12.58,284.36,45.99,334.72,G03 ,PUE
Tienda 1,2023-07-07,Fact 6725,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 82,1.0,16.44,16.25,285.82,45.93,336.95,G03 ,PUE
Tienda 1,2023-07-07,Fact 6726,UUID 1,VIGENTE,Cliente 17,INFORMACION_PROTEGIDA,Prod 83,2.0,35.15,69.31,105.07,16.85,120.17,G03 ,PUE
Tienda 1,2023-07-07,Fact 6726,UUID 1,VIGENTE,Cliente 17,INFORMACION_PROTEGIDA,Prod 84,1.0,33.85,33.97,102.99,16.76,119.58,G03 ,PUE
Tienda 1,2023-07-08,Fact 6727,UUID 1,VIGENTE,Cliente 1,INFORMACION_PROTEGIDA,Prod 85,10.0,6.66,66.05,64.99,10.58,77.08,G03 ,PUE
Tienda 1,2023-07-08,Fact 6728,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 86,1.0,25.34,25.34,25.22,4.0,29.31,G03 ,PUE
Tienda 1,2023-07-08,Fact 6729,UUID 1,VIGENTE,Cliente 18,INFORMACION_PROTEGIDA,Prod 87,1.0,12.61,12.45,33.06,5.34,37.77,G03 ,PUE
Tienda 1,2023-07-08,Fact 6729,UUID 1,VIGENTE,Cliente 18,INFORMACION_PROTEGIDA,Prod 88,1.0,20.26,20.38,32.57,5.22,37.99,G03 ,PUE
Tienda 1,2023-07-08,Fact 6730,UUID 1,VIGENTE,Cliente 19,INFORMACION_PROTEGIDA,Prod 89,3.0,40.66,122.31,123.02,19.79,144.31,G03 ,PUE
Tienda 1,2023-07-08,Fact 6731,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 90,1.0,341.09,338.29,344.28,54.36,400.84,G03 ,PUE
Tienda 1,2023-07-08,Fact 6732,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 91,50.0,2.23,110.71,111.47,17.96,132.29,G03 ,PUE
Tienda 1,2023-07-08,Fact 6733,UUID 1,VIGENTE,Cliente 20,INFORMACION_PROTEGIDA,Prod 92,1.0,6.06,5.99,297.81,46.84,345.6,G03 ,PUE
Tienda 1,2023-07-08,Fact 6733,UUID 1,VIGENTE,Cliente 20,INFORMACION_PROTEGIDA,Prod 93,1.0,3.29,3.24,298.41,47.72,346.81,G03 ,PUE
Tienda 1,2023-07-08,Fact 6733,UUID 1,VIGENTE,Cliente 20,INFORMACION_PROTEGIDA,Prod 94,1.0,57.64,57.31,292.87,48.13,342.13,G03 ,PUE
Tienda 1,2023-07-08,Fact 6733,UUID 1,VIGENTE,Cliente 20,INFORMACION_PROTEGIDA,Prod 95,1.0,35.45,35.33,300.85,47.68,339.62,G03 ,PUE
Tienda 1,2023-07-08,Fact 6733,UUID 1,VIGENTE,Cliente 20,INFORMACION_PROTEGIDA,Prod 96,42.0,0.28,11.66,299.9,46.83,343.2,G03 ,PUE
Tienda 1,2023-07-08,Fact 6733,UUID 1,VIGENTE,Cliente 20,INFORMACION_PROTEGIDA,Prod 97,1.0,183.11,183.2,299.69,46.96,348.47,G03 ,PUE
Tienda 1,2023-07-10,Fact 6734,UUID 1,VIGENTE,Cliente 21,INFORMACION_PROTEGIDA,Prod 98,1.0,10.51,10.38,206.24,32.35,233.8,G03 ,PUE
Tienda 1,2023-07-10,Fact 6734,UUID 1,VIGENTE,Cliente 21,INFORMACION_PROTEGIDA,Prod 99,1.0,10.32,10.31,202.44,32.38,233.13,G03 ,PUE
Tienda 1,2023-07-10,Fact 6734,UUID 1,VIGENTE,Cliente 21,INFORMACION_PROTEGIDA,Prod 100,1.0,10.27,10.38,203.31,32.65,236.4,G03 ,PUE
Tienda 1,2023-07-10,Fact 6734,UUID 1,VIGENTE,Cliente 21,INFORMACION_PROTEGIDA,Prod 101,2.0,87.29,169.98,202.38,32.64,238.08,G03 ,PUE
Tienda 1,2023-07-10,Fact 6735,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 102,2.0,79.48,161.01,433.76,69.85,501.54,G01 ,PUE
Tienda 1,2023-07-10,Fact 6735,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 103,1.0,8.8,8.89,439.07,69.51,506.34,G01 ,PUE
Tienda 1,2023-07-10,Fact 6735,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 104,1.0,212.56,214.09,435.75,69.03,508.4,G01 ,PUE
Tienda 1,2023-07-10,Fact 6735,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 105,1.0,53.6,54.51,441.3,69.25,500.62,G01 ,PUE
Tienda 1,2023-07-11,Fact 6736,UUID 1,VIGENTE,Cliente 9,INFORMACION_PROTEGIDA,Prod 106,4.0,6.56,26.14,26.56,4.19,30.73,G01 ,PUE
Tienda 1,2023-07-11,Fact 6737,UUID 1,VIGENTE,Cliente 12,INFORMACION_PROTEGIDA,Prod 10,2.5,21.55,53.63,54.19,8.51,61.88,G03 ,PUE
Tienda 1,2023-07-11,Fact 6738,UUID 1,VIGENTE,Cliente 22,INFORMACION_PROTEGIDA,Prod 107,1.0,14.86,14.81,19.54,3.16,22.61,G03 ,PUE
Tienda 1,2023-07-11,Fact 6738,UUID 1,VIGENTE,Cliente 22,INFORMACION_PROTEGIDA,Prod 108,2.0,0.54,1.11,19.99,3.17,22.6,G03 ,PUE
Tienda 1,2023-07-11,Fact 6738,UUID 1,VIGENTE,Cliente 22,INFORMACION_PROTEGIDA,Prod 109,2.0,1.89,3.79,19.88,3.19,22.61,G03 ,PUE
Tienda 1,2023-07-12,Fact 6739,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 110,1.0,37.98,37.87,37.71,6.07,43.58,G03 ,PUE
Tienda 1,2023-07-12,Fact 6740,UUID 1,VIGENTE,Cliente 23,INFORMACION_PROTEGIDA,Prod 111,2.0,22.33,44.85,45.48,7.23,52.62,G03 ,PUE
Tienda 1,2023-07-12,Fact 6741,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 112,1.0,22.47,22.58,22.48,3.57,25.89,G03 ,PUE
Tienda 1,2023-07-12,Fact 6742,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 113,1.0,77.78,76.44,76.8,12.33,89.68,G03 ,PUE
Tienda 1,2023-07-12,Fact 6743,UUID 1,VIGENTE,Cliente 9,INFORMACION_PROTEGIDA,Prod 114,1.0,8.66,8.81,38.76,6.18,44.43,G01 ,PUE
Tienda 1,2023-07-12,Fact 6743,UUID 1,VIGENTE,Cliente 9,INFORMACION_PROTEGIDA,Prod 115,1.0,29.76,29.91,37.97,6.1,43.87,G01 ,PUE
Tienda 1,2023-07-13,Fact 6744,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 116,1.0,35.4,35.44,68.86,10.93,80.3,G03 ,PUE
Tienda 1,2023-07-13,Fact 6744,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 117,1.0,33.08,33.54,68.77,11.01,79.96,G03 ,PUE
Tienda 1,2023-07-13,Fact 6745,UUID 1,VIGENTE,Cliente 12,INFORMACION_PROTEGIDA,Prod 10,2.5,21.41,53.15,53.66,8.57,61.99,G03 ,PUE
Tienda 1,2023-07-13,Fact 6746,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 113,1.0,77.78,76.86,76.34,12.46,89.45,G03 ,PUE
Tienda 1,2023-07-13,Fact 6747,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 61,2.0,9.32,18.83,57.71,9.24,67.05,G03 ,PUE
Tienda 1,2023-07-13,Fact 6747,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 62,3.0,13.1,39.67,57.37,9.3,66.53,G03 ,PUE
Tienda 1,2023-07-14,Fact 6748,UUID 1,VIGENTE,Cliente 24,INFORMACION_PROTEGIDA,Prod 113,1.0,77.72,77.31,76.25,12.28,90.56,G03 ,PUE
Tienda 1,2023-07-14,Fact 6749,UUID 1,VIGENTE,Cliente 4,INFORMACION_PROTEGIDA,Prod 118,1.0,53.47,54.05,53.55,8.56,62.1,G03 ,PUE
Tienda 1,2023-07-15,Fact 6750,UUID 1,VIGENTE,Cliente 25,INFORMACION_PROTEGIDA,Prod 119,5.0,15.32,76.8,76.72,12.45,90.16,G03 ,PUE
Tienda 1,2023-07-15,Fact 6751,UUID 1,VIGENTE,Cliente 12,INFORMACION_PROTEGIDA,Prod 10,2.5,21.09,53.96,53.9,8.52,61.33,G03 ,PUE
Tienda 1,2023-07-15,Fact 6752,UUID 1,VIGENTE,Cliente 26,INFORMACION_PROTEGIDA,Prod 120,1.0,107.77,109.39,108.86,17.35,125.17,G03 ,PUE
Tienda 1,2023-07-15,Fact 6753,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 121,0.47,33.51,16.06,207.61,33.71,242.76,G03 ,PUE
Tienda 1,2023-07-15,Fact 6753,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 122,0.36,67.86,24.79,212.79,33.75,242.65,G03 ,PUE
Tienda 1,2023-07-15,Fact 6753,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 123,1.0,26.58,26.25,210.78,33.68,246.0,G03 ,PUE
Tienda 1,2023-07-15,Fact 6753,UUID 1,VIGENTE,Cliente 5,INFORMACION_PROTEGIDA,Prod 4,50.0,2.87,143.01,207.43,33.82,243.15,G03 ,PUE
